"variable","standard"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Hedonic scale"
"Analysis","Friedman test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Hedonic scale"
"Analysis","rank sum multiple comparison test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Sensory evaluation/taste testing"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Sensory evaluation/taste testing"
"Analysis","Fischer's LSD"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Sensory evaluation/taste testing"
"Analysis","Friedman test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Sensory evaluation/taste testing"
"Analysis","rank sum multiple comparison test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Cooking quality test"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Cooking quality test"
"Analysis","Fischer's LSD"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Cooking quality test"
"Analysis","Friedman test"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other: Statgraphics Plus"
"Country","Burkina Faso"
"Crop","Pearl Millet"
"VC Actor","Consumer"
"Trait","Color"
"Preference","darker"
"Methods","Cooking quality test"
"Analysis","rank sum multiple comparison test"
"Publication Type","Research article"
